,D01_Manana,D01_Noche,D01_Tarde,D02_Manana,D02_Noche,D02_Tarde,D03_Manana,D03_Noche,D03_Tarde,D04_Manana,D04_Noche,D04_Tarde,D05_Manana,D05_Noche,D05_Tarde,D06_Manana,D06_Noche,D06_Tarde,D07_Manana,D07_Noche,D07_Tarde,D08_Manana,D08_Noche,D08_Tarde,D09_Manana,D09_Noche,D09_Tarde,D10_Manana,D10_Noche,D10_Tarde,D11_Manana,D11_Noche,D11_Tarde,D12_Manana,D12_Noche,D12_Tarde
T001,,,✓,✓,,,✓,,,,,,,,✓,✓,,✓,,,✓,,,,,✓,,,,,✓,,✓,✓,,✓
T002,,,,,,✓,✓,,✓,✓,,,✓,✓,,,,,,,✓,✓,,,,,,✓,,,,✓,,,,
T003,,,✓,,,,,,,,✓,,,,,,,✓,,✓,✓,,,,,,,,✓,,,,,,,
T004,,,,,,✓,✓,,✓,,✓,,,,✓,,,,,,,,✓,,,,,✓,,,,,,,,
T005,,✓,✓,,,,,✓,,,✓,,,,,,,✓,,,,✓,,,,,,,✓,,,✓,,,,✓
T006,,✓,,,,,,,,,✓,✓,,✓,,,,✓,✓,,,,,,,,✓,✓,,✓,,✓,,,,
T007,,✓,,,,,,,,,,,,,✓,,,,✓,,,,,,✓,✓,,,,✓,,,,✓,,
T008,,✓,,,✓,,,✓,,,,,,✓,✓,,,,,,✓,,,✓,,,,,,✓,,✓,✓,,,
T009,,✓,✓,,✓,✓,,,,,,,✓,✓,,,,,✓,,,,,,,✓,✓,,,,✓,✓,,,✓,
T010,,,,,✓,✓,,✓,✓,,✓,,,,,,✓,✓,,✓,✓,,,✓,,,,,✓,,,✓,✓,,✓,
T011,✓,,,✓,,,,,,✓,,✓,✓,,,✓,✓,,,,,,,,,,,,,,,,,,,
T012,,✓,✓,,,,✓,,,,,,✓,,,✓,,,✓,,✓,,,,,,,,✓,,,,,✓,,
T013,,,,✓,,✓,,,,,✓,✓,,,,,✓,✓,,,✓,✓,,✓,✓,,,✓,,,,,,✓,,
T014,,,,✓,,,✓,,,,,,✓,,,✓,✓,,,,,,✓,,,✓,,,✓,,,,,,,
T015,✓,,,,,,✓,,,,,,,✓,,,✓,✓,,,,,,✓,,,✓,,,,✓,,,✓,,
T016,,,,,,✓,✓,,,,,,✓,,,,,,✓,,,,,,✓,,✓,✓,,✓,✓,,✓,,✓,✓
T017,,,✓,,,,✓,,,✓,,,✓,,,✓,✓,,,,,✓,,,,✓,,,,,,,,,,
T018,,,,✓,,,✓,,,,,,,,✓,,✓,✓,,✓,,,,,,,,,✓,,,,✓,✓,✓,
T019,,,✓,✓,,✓,,,✓,✓,✓,,,,,✓,,,,,,,,,,,,,✓,✓,,✓,,,✓,✓
T020,,,✓,,✓,,,,,✓,,,,,,,,,,✓,,,,,,✓,,,,✓,,,✓,,,
T021,,,✓,✓,,,,✓,,,,,,✓,✓,,,,,,,,,,,✓,,,✓,,,,,,,
T022,,,,,✓,,,✓,,,,,✓,✓,,,✓,,,,,✓,,,✓,,,,,,,,,✓,,
T023,,,✓,,,,✓,,,✓,,,,✓,✓,,,✓,,,,✓,✓,,,,✓,✓,,,✓,,,✓,,
T024,,,,,✓,,,,,,,,,,,,,,✓,✓,,,✓,,,,✓,,,,✓,,,✓,✓,
T025,,,,,,,,,✓,,,✓,✓,,,,✓,,,,,✓,,✓,,,✓,✓,,,,✓,,,,
T026,✓,,,✓,✓,,,✓,,,,,,,,,,,,,,✓,,,,,,,,,,✓,,,,✓
T027,,✓,✓,,,,✓,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,
T028,,,,✓,,,✓,,,✓,✓,,,,,,,,,✓,,,,✓,✓,,✓,,,,,✓,,,,
T029,✓,,,✓,,✓,,✓,,,,,,✓,✓,,✓,,,,,✓,,,✓,,,✓,,✓,,✓,✓,,,
T030,,,,,✓,,,,,,,✓,✓,,,,,✓,,,,✓,,,,✓,,,✓,,,,,,,
T031,,,,,,,,✓,✓,,✓,✓,,✓,✓,,,,,,✓,,,,✓,,✓,,,,✓,,,,✓,
T032,,✓,,,✓,✓,,,,✓,✓,,,,,,,,,,,,,,,,,,,✓,,,,,,
T033,✓,,,,✓,✓,,,,✓,,✓,,,,✓,✓,,,,,,,✓,✓,,,,✓,✓,,✓,,,,
T034,,✓,,,,,,,,,,✓,✓,✓,,,,,✓,,,✓,✓,,,✓,✓,,✓,✓,,,✓,✓,,
T035,,,,✓,,,,✓,,,,,✓,,✓,,✓,,,,✓,,,✓,,,,✓,,,,,✓,✓,,
T036,,✓,,,,,,,,✓,✓,,,,✓,✓,,✓,,,,✓,,,,,,✓,,,,,,,✓,✓
T037,✓,,,,,,✓,,,,,✓,,,✓,✓,,,,,,,✓,,,,,✓,,✓,✓,,,✓,,
T038,,,,,✓,,,,,,,,✓,,✓,,,,✓,,,,✓,✓,,,,✓,,✓,,,,,✓,✓
T039,✓,✓,,,✓,,,,✓,✓,✓,,,✓,,,✓,,,,,,,,,,✓,✓,,✓,,,,✓,,
T040,,,,,,✓,✓,,,✓,,✓,,,,,,,,,,,✓,,,,,,,,,,,,,
T041,,✓,,,,,,,,,,,✓,,,✓,✓,,,,,,,,,,,✓,,,,,✓,,,
T042,,,,✓,✓,,,,,,,,,,,,,,✓,,,,✓,✓,,,,,,✓,✓,,,✓,,✓
T043,,,,,✓,✓,,,,,,✓,,,,,,,,✓,✓,,,✓,,,✓,,✓,,,,,,,✓
