trabajador,dia,turno,disposicion
T001,1,Mañana,0
T001,1,Tarde,2
T001,1,Noche,2
T001,2,Mañana,9
T001,2,Tarde,0
T001,2,Noche,3
T001,3,Mañana,0
T001,3,Tarde,0
T001,3,Noche,1
T001,4,Mañana,4
T001,4,Tarde,7
T001,4,Noche,0
T001,5,Mañana,5
T001,5,Tarde,4
T001,5,Noche,0
T001,6,Mañana,8
T001,6,Tarde,0
T001,6,Noche,10
T001,7,Mañana,2
T001,7,Tarde,7
T001,7,Noche,9
T001,8,Mañana,3
T001,8,Tarde,2
T001,8,Noche,4
T001,9,Mañana,0
T001,9,Tarde,3
T001,9,Noche,0
T001,10,Mañana,2
T001,10,Tarde,8
T001,10,Noche,8
T001,11,Mañana,0
T001,11,Tarde,9
T001,11,Noche,9
T001,12,Mañana,3
T001,12,Tarde,0
T001,12,Noche,2
T001,13,Mañana,0
T001,13,Tarde,0
T001,13,Noche,0
T001,14,Mañana,0
T001,14,Tarde,0
T001,14,Noche,0
T001,15,Mañana,0
T001,15,Tarde,9
T001,15,Noche,0
T001,16,Mañana,10
T001,16,Tarde,2
T001,16,Noche,0
T001,17,Mañana,2
T001,17,Tarde,7
T001,17,Noche,5
T001,18,Mañana,1
T001,18,Tarde,1
T001,18,Noche,10
T001,19,Mañana,9
T001,19,Tarde,0
T001,19,Noche,1
T002,1,Mañana,4
T002,1,Tarde,6
T002,1,Noche,9
T002,2,Mañana,0
T002,2,Tarde,1
T002,2,Noche,2
T002,3,Mañana,10
T002,3,Tarde,5
T002,3,Noche,7
T002,4,Mañana,7
T002,4,Tarde,0
T002,4,Noche,6
T002,5,Mañana,9
T002,5,Tarde,10
T002,5,Noche,0
T002,6,Mañana,3
T002,6,Tarde,9
T002,6,Noche,4
T002,7,Mañana,2
T002,7,Tarde,2
T002,7,Noche,3
T002,8,Mañana,9
T002,8,Tarde,10
T002,8,Noche,5
T002,9,Mañana,4
T002,9,Tarde,9
T002,9,Noche,10
T002,10,Mañana,5
T002,10,Tarde,1
T002,10,Noche,10
T002,11,Mañana,2
T002,11,Tarde,1
T002,11,Noche,9
T002,12,Mañana,10
T002,12,Tarde,9
T002,12,Noche,0
T002,13,Mañana,10
T002,13,Tarde,8
T002,13,Noche,1
T002,14,Mañana,0
T002,14,Tarde,4
T002,14,Noche,0
T002,15,Mañana,5
T002,15,Tarde,2
T002,15,Noche,8
T002,16,Mañana,2
T002,16,Tarde,0
T002,16,Noche,7
T002,17,Mañana,9
T002,17,Tarde,5
T002,17,Noche,3
T002,18,Mañana,3
T002,18,Tarde,3
T002,18,Noche,7
T002,19,Mañana,8
T002,19,Tarde,4
T002,19,Noche,2
T003,1,Mañana,9
T003,1,Tarde,4
T003,1,Noche,9
T003,2,Mañana,4
T003,2,Tarde,5
T003,2,Noche,2
T003,3,Mañana,0
T003,3,Tarde,0
T003,3,Noche,0
T003,4,Mañana,1
T003,4,Tarde,1
T003,4,Noche,3
T003,5,Mañana,6
T003,5,Tarde,7
T003,5,Noche,2
T003,6,Mañana,0
T003,6,Tarde,3
T003,6,Noche,0
T003,7,Mañana,7
T003,7,Tarde,9
T003,7,Noche,0
T003,8,Mañana,0
T003,8,Tarde,0
T003,8,Noche,4
T003,9,Mañana,4
T003,9,Tarde,0
T003,9,Noche,6
T003,10,Mañana,10
T003,10,Tarde,8
T003,10,Noche,10
T003,11,Mañana,1
T003,11,Tarde,2
T003,11,Noche,4
T003,12,Mañana,10
T003,12,Tarde,4
T003,12,Noche,3
T003,13,Mañana,10
T003,13,Tarde,0
T003,13,Noche,0
T003,14,Mañana,2
T003,14,Tarde,6
T003,14,Noche,9
T003,15,Mañana,9
T003,15,Tarde,3
T003,15,Noche,3
T003,16,Mañana,10
T003,16,Tarde,0
T003,16,Noche,6
T003,17,Mañana,2
T003,17,Tarde,4
T003,17,Noche,5
T003,18,Mañana,0
T003,18,Tarde,1
T003,18,Noche,10
T003,19,Mañana,4
T003,19,Tarde,7
T003,19,Noche,0
T004,1,Mañana,6
T004,1,Tarde,3
T004,1,Noche,2
T004,2,Mañana,2
T004,2,Tarde,9
T004,2,Noche,0
T004,3,Mañana,0
T004,3,Tarde,9
T004,3,Noche,0
T004,4,Mañana,0
T004,4,Tarde,3
T004,4,Noche,0
T004,5,Mañana,5
