dia,turno,demanda
1,Mañana,15
1,Tarde,30
1,Noche,28
2,Mañana,28
2,Tarde,17
2,Noche,35
3,Mañana,13
3,Tarde,24
3,Noche,15
4,Mañana,34
4,Tarde,18
4,Noche,20
5,Mañana,31
5,Tarde,30
5,Noche,21
6,Mañana,26
6,Tarde,40
6,Noche,31
7,Mañana,31
7,Tarde,21
7,Noche,14
8,Mañana,23
8,Tarde,33
8,Noche,20
9,Mañana,20
9,Tarde,18
9,Noche,26
10,Mañana,24
10,Tarde,15
10,Noche,21
11,Mañana,22
11,Tarde,28
11,Noche,11
12,Mañana,15
12,Tarde,23
12,Noche,34
13,Mañana,12
13,Tarde,28
13,Noche,26
14,Mañana,20
14,Tarde,30
14,Noche,32
