trabajador,dia,turno,disposicion
T001,1,Mañana,8
T001,1,Noche,8
T001,2,Mañana,8
T001,2,Noche,5
T001,3,Mañana,4
T001,3,Noche,0
T001,4,Mañana,3
T001,4,Noche,9
T001,5,Mañana,6
T001,5,Noche,0
T002,1,Mañana,3
T002,1,Noche,10
T002,2,Mañana,5
T002,2,Noche,5
T002,3,Mañana,6
T002,3,Noche,7
T002,4,Mañana,7
T002,4,Noche,8
T002,5,Mañana,9
T002,5,Noche,4
T003,1,Mañana,2
T003,1,Noche,8
T003,2,Mañana,8
T003,2,Noche,0
T003,3,Mañana,3
T003,3,Noche,4
T003,4,Mañana,5
T003,4,Noche,7
T003,5,Mañana,1
T003,5,Noche,2
T004,1,Mañana,1
T004,1,Noche,7
T004,2,Mañana,8
T004,2,Noche,2
T004,3,Mañana,10
T004,3,Noche,1
T004,4,Mañana,1
T004,4,Noche,9
T004,5,Mañana,4
T004,5,Noche,0
T005,1,Mañana,4
T005,1,Noche,9
T005,2,Mañana,4
T005,2,Noche,6
T005,3,Mañana,7
T005,3,Noche,5
T005,4,Mañana,0
T005,4,Noche,0
T005,5,Mañana,2
T005,5,Noche,1
T006,1,Mañana,5
T006,1,Noche,3
T006,2,Mañana,3
T006,2,Noche,2
T006,3,Mañana,8
T006,3,Noche,8
T006,4,Mañana,0
T006,4,Noche,0
T006,5,Mañana,5
T006,5,Noche,7
T007,1,Mañana,7
T007,1,Noche,10
T007,2,Mañana,5
T007,2,Noche,3
T007,3,Mañana,5
T007,3,Noche,2
T007,4,Mañana,3
T007,4,Noche,8
T007,5,Mañana,10
T007,5,Noche,7
T008,1,Mañana,10
T008,1,Noche,7
T008,2,Mañana,0
T008,2,Noche,7
T008,3,Mañana,2
T008,3,Noche,7
T008,4,Mañana,1
T008,4,Noche,2
T008,5,Mañana,1
T008,5,Noche,10
T009,1,Mañana,6
T009,1,Noche,0
T009,2,Mañana,2
T009,2,Noche,8
T009,3,Mañana,3
T009,3,Noche,10
T009,4,Mañana,9
T009,4,Noche,3
T009,5,Mañana,0
T009,5,Noche,3
T010,1,Mañana,9
T010,1,Noche,8
T010,2,Mañana,1
T010,2,Noche,3
T010,3,Mañana,4
T010,3,Noche,10
T010,4,Mañana,5
T010,4,Noche,10
T010,5,Mañana,9
T010,5,Noche,6
T011,1,Mañana,3
T011,1,Noche,9
T011,2,Mañana,7
T011,2,Noche,3
T011,3,Mañana,9
T011,3,Noche,9
T011,4,Mañana,5
T011,4,Noche,3
T011,5,Mañana,0
T011,5,Noche,6
T012,1,Mañana,10
T012,1,Noche,10
T012,2,Mañana,6
T012,2,Noche,7
T012,3,Mañana,5
T012,3,Noche,7
T012,4,Mañana,6
T012,4,Noche,4
T012,5,Mañana,3
T012,5,Noche,10
