instancia_id,tamaño,num_trabajadores,num_dias,num_turnos,num_fines_semana,nivel_tension,ratio_cobertura,ratio_capacidad,factible_basico,cobertura_suficiente,dias_criticos,demanda_promedio,demanda_maxima,turnos
pequena_1,pequeña,8,6,2,0,alta_factibilidad,1.6666666666666667,3.4285714285714284,True,True,0,2.33,3,Mañana|Noche
pequena_2,pequeña,13,6,2,0,alta_factibilidad,2.0,3.12,True,True,0,4.17,5,Mañana|Noche
pequena_3,pequeña,12,5,2,0,alta_factibilidad,2.5,3.5294117647058822,True,True,0,3.4,4,Mañana|Noche
pequena_4,pequeña,14,7,2,1,alta_factibilidad,0.7647058823529411,2.3333333333333335,False,False,0,6.0,17,Mañana|Noche
pequena_5,pequeña,13,5,2,0,alta_factibilidad,0.7142857142857143,2.2033898305084745,False,False,0,5.9,14,Mañana|Noche
mediana_1,mediana,33,8,3,1,riesgo_infactibilidad,1.5714285714285714,2.3056768558951966,True,True,0,9.54,15,Mañana|Tarde|Noche
mediana_2,mediana,39,9,3,1,moderada,2.5555555555555554,2.763779527559055,True,True,0,9.41,13,Mañana|Tarde|Noche
mediana_3,mediana,43,12,3,1,moderada,2.0714285714285716,2.592964824120603,True,True,0,11.06,14,Mañana|Tarde|Noche
mediana_4,mediana,38,13,3,1,moderada,0.7948717948717948,2.0329218106995883,False,False,0,12.46,39,Mañana|Tarde|Noche
mediana_5,mediana,26,9,3,1,moderada,0.75,1.9914893617021276,False,False,0,8.7,20,Mañana|Tarde|Noche
grande_1,grande,71,17,3,2,riesgo_infactibilidad,1.6875,2.23725671918443,True,True,0,21.16,32,Mañana|Tarde|Noche
grande_2,grande,51,19,3,2,riesgo_infactibilidad,1.55,2.2327188940092166,True,True,0,15.23,24,Mañana|Tarde|Noche
grande_3,grande,71,21,3,3,riesgo_infactibilidad,1.4516129032258065,2.3951807228915665,True,True,0,19.76,31,Mañana|Tarde|Noche
grande_4,grande,82,14,3,2,riesgo_infactibilidad,0.8205128205128205,1.7341389728096677,False,False,0,31.52,78,Mañana|Tarde|Noche
grande_5,grande,76,25,3,3,riesgo_infactibilidad,0.8181818181818182,1.9497178040020524,False,False,0,25.99,77,Mañana|Tarde|Noche
